Language_Label,File_Name,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_std,rms_mean
Hindi,audio 1 H.wav,-314.76968,139.00484,-29.55091,-3.2632473,-25.898035,-15.140757,-29.364286,7.187596,-18.827122,-5.9920545,-10.184475,-15.039853,-5.334463,24.301250258854193,0.060298923
Hindi,audio 2 H.wav,-362.8056,126.58999,-1.1557364,32.728683,-16.635912,-9.78497,-28.150658,-4.331835,-27.128103,-1.6771785,-12.778478,-16.662838,-0.26089916,21.29276953247219,0.05423882
Hindi,audio 3 H.wav,-343.85675,126.36962,-10.172827,30.198387,-20.089876,-4.864672,-17.712406,-11.615949,-11.397982,-12.280548,-10.432607,-14.822634,-13.205814,27.87977008244734,0.07320411
Hindi,audio 4 H.wav,-383.06384,171.24773,-17.385061,-11.894183,-8.396971,-27.48367,-26.460854,10.017934,-19.700268,-3.6466064,-12.426916,-14.962016,-3.6447105,21.865062873996514,0.043398175
Hindi,audio 5 H.wav,-378.94525,135.4045,-12.658708,14.424619,-9.760981,-23.141201,-11.414862,-11.236239,-16.998663,-5.762387,-8.347669,-13.355207,-8.974453,23.48379453243856,0.041427016
Hindi,audio 6 H.wav,-341.5112,143.72725,-5.2325816,44.797604,25.94029,16.491331,-15.202558,11.47392,-11.486014,-3.964978,-2.4800184,-4.232755,-4.312338,23.143355068739318,0.044327136
Hindi,audio 7 H.wav,-265.0899,127.22359,-23.789215,71.003654,-9.381038,8.043272,-14.126875,-13.346966,-2.074224,-1.8650292,-10.99659,-4.0931087,3.5740597,10.240337468052894,0.08651548
Hindi,audio 8 H.wav,-271.76633,117.58878,-27.182152,74.704,-16.86869,14.781852,-20.852398,-7.4300437,-4.8216815,-2.999955,-11.467591,-7.4558663,6.261918,6.797956234389104,0.071432024
Hindi,audio 9 H.wav,-321.63528,104.613045,-6.9061127,69.1412,-25.898973,21.783035,-6.318452,-3.1581373,-0.5937234,-6.5230756,-3.506746,3.9147658,-3.1843274,14.982032565971243,0.066943854
Hindi,audio 10 H.wav,-362.20255,120.27929,-13.527031,42.83795,-29.629097,12.613401,-7.4167686,-15.309222,4.7565393,-7.503311,-5.142035,1.9561878,-0.03276771,8.889140367095461,0.044157736
Tamil,audio 1 T.wav,-193.9883,76.103905,-65.71759,39.13863,-50.090004,-14.089335,-23.429361,-37.82879,-20.654554,-18.016628,-14.900016,-6.100539,-11.974842,54.32141117700833,0.21177486
Tamil,audio 2 T.wav,-381.31958,172.44774,-1.9372549,-20.118677,2.8934615,-7.2040644,-21.346027,2.538306,-10.418894,-10.945108,0.077650025,-5.7849336,-2.2389374,86.87394478496437,0.044998433
Tamil,audio 3 T.wav,-391.92188,139.47523,63.207798,28.471361,-7.956784,-21.456886,-52.883553,-1.8064286,-10.948954,-10.988865,-1.1255238,-11.380817,0.46739328,57.53806519085418,0.06349974
Tamil,audio 4 T.wav,-336.20285,141.75005,-19.851406,19.487186,-4.2041497,-0.10887481,-47.697342,-4.9923024,-20.087599,-12.674309,-3.0397215,-15.983366,-0.12520884,16.233801642360486,0.04395542
Tamil,audio 5 T.wav,-317.5823,153.70363,8.176647,8.714445,-10.022858,-20.94448,-31.269447,6.4686565,-13.507911,-21.162256,-11.606135,-4.8743825,-3.2993817,21.240739822771626,0.09940628
Tamil,audio 6 T.wav,-348.97272,151.11542,15.858607,36.443935,10.939843,-15.496371,-20.752396,7.65903,-18.926561,-22.616014,-15.621246,-16.720388,-13.07926,8.509288926677588,0.09877138
Tamil,audio 7 T.wav,-329.23776,169.60655,24.64182,15.68876,-7.7526984,4.219107,-9.953834,-16.960764,-11.920146,-14.043286,-11.323623,-7.4488277,-10.978544,16.259812682726988,0.09603138
Tamil,audio 8 T.wav,-355.78693,155.04834,26.727837,27.590118,-5.558912,2.950885,-19.399912,-8.52432,-3.7881646,-23.798084,-19.325743,-12.945145,-15.004734,12.290954485616549,0.08517625
Tamil,audio 9 T.wav,-213.37077,201.2418,-49.392704,20.65179,6.0859437,-21.439642,6.069949,6.0911784,-34.618248,-0.73901725,-1.8394663,-7.157124,7.1463604,13.968795855509592,0.13808998
Tamil,audio 10 T.wav,-231.94408,160.80759,-27.526138,20.609917,22.215082,-0.101069964,-21.35758,-12.185901,-11.483936,-13.19359,-7.165241,-6.682454,-5.7889605,24.51637252794774,0.17965232
Bengali,audio 1 B.wav,-293.00336,92.06796,-15.207114,51.8005,-15.628598,0.8162265,-13.999369,-38.497334,-19.1252,-3.1528425,-16.320295,-8.223505,-4.921252,39.6649294144542,0.0925066
Bengali,audio 2 B.wav,-314.72714,121.151276,-7.068379,31.084528,-22.003695,-17.564718,-17.360964,-15.806403,-13.045155,-20.861414,-6.019042,-3.02739,-10.198374,24.271289338283893,0.08877605
Bengali,audio 3 B.wav,-275.97098,137.30803,-30.989775,8.142135,-18.179052,6.4146204,-18.600452,-28.144844,-9.2316475,-15.93547,-8.758632,-10.275013,-17.052197,25.048790213297288,0.12493359
Bengali,audio 4 B.wav,-376.19058,118.10492,19.527285,43.626274,-23.196056,-3.9434364,-20.095999,-8.804592,-8.109004,-20.619644,-10.462449,-9.031477,-11.8446045,33.45364251387001,0.035417944
Bengali,audio 5 B.wav,-391.57022,141.84433,-9.891845,6.3622975,-5.271389,-3.759997,-30.868624,11.767619,-24.41684,-2.7524128,-12.586067,-9.176632,-2.8959413,34.64752931197955,0.0352279
Bengali,audio 6 B.wav,-280.5944,139.09625,-16.53989,30.48212,-23.476124,-4.4979987,-28.00952,-20.335608,-17.370274,-28.709564,-23.261889,-15.539805,-12.073641,9.13815853080385,0.10453023
Bengali,audio 7 B.wav,-439.6994,92.39006,-18.08579,39.565117,-29.649864,-3.226406,-12.161755,-19.999943,-18.395308,-12.078218,-14.228135,-6.8761644,-7.011887,9.894316631164036,0.022356337
Bengali,audio 8 B.wav,-331.97995,92.93201,-28.012918,54.924446,-30.872889,2.8163843,-10.274701,-21.25671,-14.822344,-18.435675,-14.556721,-14.893933,-14.183944,5.925837792493723,0.05602375
Bengali,audio 9 B.wav,-327.04388,80.27884,-22.22482,51.42694,-36.70949,-2.2274377,-12.642595,-15.175612,-15.503342,-21.65928,-19.704992,-9.634136,-16.730444,17.670394048655158,0.05678093
Bengali,audio 10 B.wav,-364.81168,89.80377,-14.843075,33.97138,-20.485374,-10.512907,-8.798521,-17.753777,-18.596771,-12.555465,-14.108249,-10.900071,-7.9641595,42.90335121057578,0.05931012
